mode,archetype,strategy,Environmental,Economic,Social,Technological,WSM,WSM_rank,TOPSIS,TOPSIS_rank
HALF_BRIDGE_EFFECT,RO-A1,CIRCULAR,52.816583888702716,47.51991845298346,63.82506465154865,51.22318996002428,53.84618923831478,6,22.18269897115566,5
HALF_BRIDGE_EFFECT,RO-A1,DIGITAL,49.98213597774125,50.013250652044334,63.86171860143465,56.36618795439037,55.05582329640265,3,32.32780854876744,3
HALF_BRIDGE_EFFECT,RO-A1,SOCIAL,49.32162248693879,48.364127139683205,67.34136779315833,51.21857376882428,54.06142279715115,5,17.656002874478286,6
HALF_BRIDGE_EFFECT,RO-A1,INTEGRATED,61.808316075215785,52.769254835611505,66.74778684082847,55.430500236854975,59.188964497127685,1,93.09991457452543,1
HALF_BRIDGE_EFFECT,RO-A2,ENERGY,60.838456761633815,48.83176928560044,63.84451561274076,51.6328411406855,56.286895700165125,2,60.387796735532895,2
HALF_BRIDGE_EFFECT,RO-A2,MAINT,50.94577723875377,51.562805218424195,64.1868270067244,52.073831253251825,54.69231017928855,4,26.7221009026838,4
HALF_BRIDGE_EFFECT,RO-A2,CIRCULAR,52.867605218432715,47.6253298638391,63.84512532248825,51.6405834866855,53.994660972861396,6,21.818140564190614,5
HALF_BRIDGE_EFFECT,RO-A2,DIGITAL,50.03042419440792,50.09343162671199,63.880910612740756,56.72973478275771,55.183625304154596,3,31.3659346907254,3
HALF_BRIDGE_EFFECT,RO-A2,SOCIAL,49.36894493927213,48.46859973169224,67.36148713428118,51.6367123136855,54.20893602973276,5,17.373652534690855,6
HALF_BRIDGE_EFFECT,RO-A2,INTEGRATED,62.28472154383051,52.838481495427814,66.76673133169443,55.79496409591441,59.42122461671679,1,93.25871638478898,1
HALF_BRIDGE_EFFECT,RO-A3,ENERGY,60.3332913563963,48.81490395143362,63.841316233119784,51.312518415991626,56.075507489235335,2,59.17925500828293,2
HALF_BRIDGE_EFFECT,RO-A3,MAINT,50.91235895233711,51.56241742115035,64.18399673791612,51.764969799648775,54.60593572776309,4,27.204849282035408,4
HALF_BRIDGE_EFFECT,RO-A3,CIRCULAR,52.828588907462716,47.610595769786045,63.84201567373578,51.32140020159162,53.90065013814404,6,22.124220824911777,5
HALF_BRIDGE_EFFECT,RO-A3,DIGITAL,49.99349791107458,50.09810699811272,63.87846523311978,56.45172838459445,55.10544963172538,3,32.12486366703538,3
HALF_BRIDGE_EFFECT,RO-A3,SOCIAL,49.332757181605466,48.45437676200815,67.35833262009446,51.316959308791624,54.11560646812492,5,17.602566006876057,6
HALF_BRIDGE_EFFECT,RO-A3,INTEGRATED,61.89969762204152,52.852050144678074,66.76447523241004,55.5162564389866,59.25811985952906,1,93.12984176984187,1
HALF_BRIDGE_EFFECT,RO-A4,ENERGY,60.40488010843571,48.706315856816225,63.821031784991426,50.967555481705915,55.97494580798732,2,59.183327185759495,2
HALF_BRIDGE_EFFECT,RO-A4,MAINT,50.87637002850378,51.47157001834739,64.16410979373988,51.43234977269163,54.48609990332067,4,27.159764578761752,4
HALF_BRIDGE_EFFECT,RO-A4,CIRCULAR,52.78657134180271,47.50358801308226,63.82182785885043,50.977664356105905,53.77241289246032,6,21.944811609651822,5
HALF_BRIDGE_EFFECT,RO-A4,DIGITAL,49.95373114440791,50.01192936984226,63.85899278499143,56.15233687888016,54.99424754453044,3,32.28064882628534,3
HALF_BRIDGE_EFFECT,RO-A4,SOCIAL,49.29378575027213,48.34863574118628,67.33809648858761,50.97260991890591,53.98828197473798,5,17.495089873554086,6
HALF_BRIDGE_EFFECT,RO-A4,INTEGRATED,61.945424071870434,52.774471769401885,66.74520662464415,55.2161097315259,59.17030304936059,1,93.1448137507284,1
HALF_BRIDGE_EFFECT,RO-A5,ENERGY,60.04801061207269,48.79983774218744,63.838392546652905,51.558920511909996,56.061290353205756,2,58.62257921646729,2
HALF_BRIDGE_EFFECT,RO-A5,MAINT,50.938065326503775,51.53432738694398,64.18078912005485,52.002555533189586,54.66393434167305,4,27.489639290563026,4
HALF_BRIDGE_EFFECT,RO-A5,CIRCULAR,52.85860145436271,47.59669094831649,63.8390229635239,51.56692580550999,53.96531029292828,6,22.438692248335364,5
HALF_BRIDGE_EFFECT,RO-A5,DIGITAL,50.02190274440791,50.06868479195551,63.874961546652905,56.665579460104645,55.15778213578024,3,32.278395814078,3
HALF_BRIDGE_EFFECT,RO-A5,SOCIAL,49.36059391827213,48.43671677232609,67.35537442175507,51.56292315870999,54.17890206776582,5,17.81631611667397,6
HALF_BRIDGE_EFFECT,RO-A5,INTEGRATED,61.69193692364625,52.820154720934326,66.76082594568425,55.73064694431569,59.25089113364513,1,93.06110950759482,1
HALF_BRIDGE_EFFECT,RO-A6,ENERGY,60.34749377306297,48.764755316005186,63.831874619856016,51.43571946395081,56.094960793218746,2,59.2419014525082,2
HALF_BRIDGE_EFFECT,RO-A6,MAINT,50.92521213942044,51.50566706915222,64.17441315895516,51.88376266641918,54.62226375848675,4,27.202572906148326,4
HALF_BRIDGE_EFFECT,RO-A6,CIRCULAR,52.843595180912715,47.56148812881046,63.83253954859952,51.44416300355081,53.92044646546837,6,22.147698662550656,5
HALF_BRIDGE_EFFECT,RO-A6,DIGITAL,50.00770032774125,50.04108996497443,63.868733619856016,56.558653922349556,55.119044458730315,3,32.02890482553381,3
HALF_BRIDGE_EFFECT,RO-A6,SOCIAL,49.346675549938794,48.40279995206537,67.34887375089444,51.439941233750815,54.13457262166236,5,17.616005669612996,6
HALF_BRIDGE_EFFECT,RO-A6,INTEGRATED,61.91310741071053,52.79454352866433,66.75467081901682,55.62345169165114,59.27144336251071,1,93.13617770416003,1
HALF_BRIDGE_EFFECT,RO-A7,ENERGY,60.58240352153174,48.88671217285964,63.85469748176754,51.50964009272632,56.20836331722131,2,59.803481130815825,2
HALF_BRIDGE_EFFECT,RO-A7,MAINT,50.93292405167045,51.62396485487584,64.19715084144836,51.95503838648143,54.67726953361902,4,26.939968117040998,4
HALF_BRIDGE_EFFECT,RO-A7,CIRCULAR,52.85259894498272,47.68210167202032,63.85534170338753,51.517820684726324,53.976965751279224,6,21.989707382017727,5
HALF_BRIDGE_EFFECT,RO-A7,DIGITAL,50.01622177774125,50.157427609604504,63.89138248176753,56.622809245002614,55.17196027852898,3,31.71691882313512,3
HALF_BRIDGE_EFFECT,RO-A7,SOCIAL,49.35502657093879,48.524334807741646,67.3716862592442,51.51373038872632,54.19119450666274,5,17.492199740722008,6
HALF_BRIDGE_EFFECT,RO-A7,INTEGRATED,62.09045092862441,52.907514329492436,66.77727600085066,55.68776884324986,59.36575252555434,1,93.19359733636735,1
HALF_BRIDGE_EFFECT,RO-A8,ENERGY,59.476814343457505,48.85645676248915,63.84088980244588,51.3617988351753,55.88398993589196,2,56.47789880337404,2
HALF_BRIDGE_EFFECT,RO-A8,MAINT,50.917500227170436,51.581439851086095,64.18351352096334,51.812486946356934,54.6237351363942,4,27.166007150335258,4
HALF_BRIDGE_EFFECT,RO-A8,CIRCULAR,52.83459141684271,47.80420164622783,63.84157543831288,51.370505322375294,53.96271845593968,6,22.707163143594393,5
HALF_BRIDGE_EFFECT,RO-A8,DIGITAL,49.99917887774125,50.25769257688004,63.87792280244588,56.49449859969649,55.15732321419092,3,32.88317514794469,3
HALF_BRIDGE_EFFECT,RO-A8,SOCIAL,49.3383245289388,48.46566209427016,67.35789928704605,51.3661520787753,54.13200949725758,5,17.720207537105054,6
HALF_BRIDGE_EFFECT,RO-A8,INTEGRATED,61.260322757702426,53.245569920461676,66.76390368168435,55.55913454005242,59.20723272497522,1,92.94733791292256,1
NO_BRIDGE_CREDIT,RO-A1,ENERGY,60.21407761250382,47.84892692841108,63.82433760143465,51.21395757762428,55.77532492999346,2,71.07871675154435,2
NO_BRIDGE_CREDIT,RO-A1,MAINT,50.87365263278155,51.28696797994087,63.82433760143465,51.21395757762428,54.29972894794534,3,30.606675470193075,3
NO_BRIDGE_CREDIT,RO-A1,CIRCULAR,51.53722217530864,47.51991845298346,63.82433760143465,51.21395757762428,53.52385895183776,5,17.56118039450944,5
NO_BRIDGE_CREDIT,RO-A1,DIGITAL,49.98213597774125,49.887986638175995,63.82433760143465,51.21395757762428,53.72710444874404,4,19.4485835013838,4
NO_BRIDGE_CREDIT,RO-A1,SOCIAL,49.315638535383236,48.36376793714125,63.82433760143465,51.21395757762428,53.17942541289585,6,7.05771165761145,6
NO_BRIDGE_CREDIT,RO-A1,INTEGRATED,60.81939582317627,51.87707050370161,63.82433760143465,51.21395757762428,56.93369037648421,1,100.0,1
NO_BRIDGE_CREDIT,RO-A2,ENERGY,60.838456761633815,47.95676928560044,63.84451561274076,51.6328411406855,56.068145700165125,2,72.34545434945477,2
NO_BRIDGE_CREDIT,RO-A2,MAINT,50.92194084944822,51.37356308609568,63.84451561274076,51.6328411406855,54.44321517224254,3,29.67374407034786,3
NO_BRIDGE_CREDIT,RO-A2,CIRCULAR,51.585510391975305,47.6253298638391,63.84451561274076,51.6328411406855,53.67204925231017,5,17.058069198213907,5
NO_BRIDGE_CREDIT,RO-A2,DIGITAL,50.03042419440792,49.96816761284365,63.84451561274076,51.6328411406855,53.86898714016946,4,18.75164432782255,4
NO_BRIDGE_CREDIT,RO-A2,SOCIAL,49.36392675204991,48.46824052915027,63.84451561274076,51.6328411406855,53.32738100865661,6,6.856387994583643,6
NO_BRIDGE_CREDIT,RO-A2,INTEGRATED,61.298496226983026,51.946297163517926,63.84451561274076,51.6328411406855,57.1805375359818,1,100.0,1
